Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
--uri=/,2999.1,2.9,2999.1,0.9,881.6
--uri=/,3099.5,0.2,3099.5,0.6,911.1
--uri=/,3198.6,0.2,3198.6,0.6,940.2
--uri=/,3299.0,3.2,3299.0,1.1,969.7
--uri=/,3397.3,0.2,3397.3,0.6,998.6
--uri=/,3499.8,0.2,3499.8,0.6,1028.8
--uri=/,3297.5,5.0,3297.5,1.1,969.3
--uri=/,3697.3,0.2,3697.3,0.6,1086.8
--uri=/,3797.6,0.2,3797.6,0.6,1116.3
--uri=/,3295.6,5.9,3295.6,1.5,968.7
--uri=/,3996.3,0.2,3996.3,0.6,1174.7
--uri=/,4097.6,0.2,4097.6,0.6,1204.5
--uri=/,3303.4,2.6,3303.4,1.7,971.0
--uri=/,4300.3,0.2,4300.3,0.6,1264.0
--uri=/,4398.5,0.2,4398.5,0.6,1292.9
--uri=/,3300.4,8.0,3300.4,1.6,970.1
--uri=/,4596.6,0.3,4596.6,0.6,1351.2
--uri=/,4699.7,0.3,4699.7,0.6,1381.5
--uri=/,3295.9,6.8,3295.9,2.1,968.8
--uri=/,4895.8,0.3,4895.8,0.7,1439.1
--uri=/,4995.7,0.3,4995.7,0.7,1468.5
--uri=/,3297.7,6.6,3297.7,2.1,969.3
--uri=/,5194.1,0.3,5194.1,0.7,1526.8
--uri=/,5298.1,0.3,5298.1,0.7,1557.4
--uri=/,3294.6,11.4,3294.6,2.2,968.4
--uri=/,5492.8,0.3,5492.8,0.7,1614.6
--uri=/,5596.8,0.3,5596.8,0.7,1645.1
--uri=/,3294.2,12.3,3294.2,2.5,968.3
--uri=/,5799.5,0.3,5799.5,0.7,1704.7
--uri=/,5893.6,0.3,5893.6,0.7,1732.4
--uri=/,3294.8,9.6,3294.8,3.0,968.5
--uri=/,6092.3,0.3,6092.3,0.7,1790.8
--uri=/,6187.8,0.3,6187.8,0.8,1818.9
--uri=/,3309.0,6.9,3309.0,2.9,972.7
--uri=/,6398.1,0.3,6398.1,0.8,1880.7
--uri=/,6495.5,0.3,6495.5,0.8,1909.3
--uri=/,3088.4,9.9,3088.4,4.7,907.8
--uri=/,6693.4,0.3,6693.4,0.8,1967.5
--uri=/,6789.8,0.3,6789.8,0.8,1995.8
--uri=/,3301.5,16.8,3301.5,3.0,970.5
--uri=/,6995.9,0.3,6995.9,0.8,2056.4
--uri=/,7089.9,0.3,7089.9,0.9,2084.0
--uri=/,3095.7,8.7,3095.7,5.7,910.0
--uri=/,7286.8,0.3,7286.8,0.9,2141.9
--uri=/,7387.4,0.4,7387.4,0.9,2171.5
--uri=/,3087.2,24.9,3087.2,3.5,907.5
--uri=/,7590.1,0.3,7590.1,0.8,2231.1
--uri=/,2643.3,9.6,2643.3,1.0,777.0
--uri=/,3086.2,24.3,3086.2,4.3,907.2
--uri=/,7890.0,0.3,7890.0,0.9,2319.2
--uri=/,2431.0,2.8,2431.0,1.1,714.6
--uri=/,3093.1,19.5,3093.1,5.4,909.2
--uri=/,8178.4,0.3,8178.4,1.0,2404.0
--uri=/,8296.2,0.4,8296.2,1.0,2438.6
--uri=/,3092.1,25.2,3092.1,5.8,908.9
--uri=/,8488.7,0.3,8488.7,1.0,2495.2
--uri=/,3321.9,3.3,3321.9,1.3,976.5
--uri=/,3091.7,25.8,3091.7,5.1,908.8
--uri=/,8783.0,0.3,8783.0,1.1,2581.7
--uri=/,8876.7,0.4,8876.7,1.1,2609.3
--uri=/,3103.4,22.5,3103.4,6.6,912.2
--uri=/,9081.5,0.3,9081.5,1.2,2669.5
--uri=/,3318.5,3.7,3318.5,1.6,975.5
--uri=/,3082.5,60.9,3082.5,6.9,906.1
--uri=/,2524.8,3.3,2524.8,2.0,742.2
--uri=/,3315.9,3.1,3315.9,1.6,974.7
--uri=/,2719.3,54.6,2719.3,12.1,799.3
--uri=/,3292.8,3.1,3292.8,2.2,967.9
--uri=/,3316.4,7.0,3316.4,3.5,974.8
--uri=/,2523.0,44.4,2523.0,16.4,741.6
--uri=/,2934.3,6.3,2934.3,4.3,862.5

