Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,1000,0.2,1000,0.8,228.5
1100,1100,0.2,1100,0.9,251.3
1200,1200.1,0.2,1200.1,0.9,274.2
1300,1300,0.2,1300,0.9,297.1
1400,1399.8,0.2,1399.8,0.9,319.8
1500,1499.8,0.2,1499.8,0.9,342.7
1600,1599.9,0.2,1599.9,1,365.5
1700,1700,0.2,1700,0.9,388.4
1800,1799.7,0.2,1799.7,0.9,411.2
1900,1899.1,0.2,1899.1,1,433.8
2000,1999.8,0.2,1999.8,0.9,456.9
2100,2099.9,0.2,2099.9,0.9,479.7
2200,2199.1,0.2,2199.1,1,502.4
2300,2298.9,0.2,2298.9,0.9,525.1
2400,2398.9,0.2,2398.9,1,548.1
2500,2499.1,0.2,2499.1,1.1,570.8
2600,2599.6,0.2,2599.6,1,593.9
2700,2699.9,0.2,2699.9,1,616.8
2800,2798.6,0.2,2798.6,1.4,639
2900,2899.4,0.2,2899.4,1,662.2
3000,2998.7,0.2,2998.7,1,685
3100,3099.3,1.4,3099.3,1.3,707.6
3200,3197.8,0.2,3197.8,4.1,728.2
3300,3298.3,0.2,3298.3,1,753.1
3400,3296,1.1,3296,1.7,752.3
3500,3499.1,0.2,3499.1,1,799
3600,3598.3,0.2,3598.3,1,821.3
3700,3298.1,3.2,3298.1,1.9,752.7
3800,3796.8,0.2,3796.8,1,866.7
3900,3898.8,0.2,3898.8,1.1,889.8
4000,3300.4,6.2,3300.4,1.7,753.1
4100,4096.7,0.2,4096.7,1.1,934.9
4200,4195.9,0.3,4195.9,1.1,957.6
4300,3297.9,8.3,3297.9,2,752.4
4400,4397.3,0.3,4397.3,1.1,1003.3
4500,4496.1,0.3,4496.1,1.1,1025.8
4600,3302.4,3,3302.4,2.6,752.8
4700,4699.1,0.3,4699.1,1.1,1071.7
4800,4795.5,0.3,4795.5,1.1,1093.5
4900,3296.7,1.8,3296.7,3,751.4
5000,4993,0.3,4993,1.2,1138.9
