Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,711.4,4.0,71142.0,21.9,13547.5
1100,1084.6,0.4,108461.4,0.8,20654.3
1200,1182.0,0.4,118196.2,0.9,22508.1
1300,1269.6,0.5,126961.1,1.4,24177.2
1400,1324.9,0.7,132490.6,2.6,25230.1
1500,1368.9,0.8,136889.4,3.7,26067.8
1600,1382.0,1.0,138199.5,4.6,26317.3
1700,1417.5,1.3,141751.5,6.1,26993.7
1800,1409.9,1.2,140991.6,6.9,26849.0
1900,1420.5,1.4,142051.1,8.0,27050.8
2000,933.5,3.9,93353.3,11.0,17777.2
2100,1110.5,9.1,111051.7,12.1,21147.5
2200,1001.9,4.7,100190.6,13.1,19079.3
2300,1055.2,15.0,105524.2,14.5,20094.9
2400,1348.7,3.9,134865.0,15.5,25682.3
2500,1007.5,7.7,100753.0,16.6,19186.4
2600,1361.0,4.3,136101.1,16.5,25917.7
2700,1115.9,15.0,111589.6,17.8,21250.0
2800,1181.0,12.8,118096.1,18.7,22489.0
2900,1078.4,9.6,107843.2,20.1,20536.6
3000,1113.4,21.8,111338.3,18.3,21202.1
3100,1106.9,44.0,110694.3,17.3,21079.5
3200,1096.0,36.9,109601.6,19.4,20871.4
3300,1095.0,214.8,109504.8,16.1,20853.0
3400,1114.4,46.8,111443.3,18.1,21222.1
3500,1106.1,181.8,110610.5,19.9,21063.5
3600,1187.2,76.5,118721.6,21.8,22608.1
3700,1146.1,50.8,114608.5,22.9,21824.9
3800,1160.8,71.1,116084.6,22.8,22106.0
3900,1161.4,72.6,116144.3,23.6,22117.3
4000,1183.2,32.2,118316.1,23.0,22530.9
4100,1168.5,65.5,116845.1,20.5,22250.8
4200,1263.0,33.4,126299.2,22.9,24051.1
4300,1214.5,38.9,121453.4,28.0,23128.3
4400,1210.9,32.0,121093.6,25.1,23059.8
4500,1228.4,54.6,122840.4,23.5,23392.5
4600,1212.8,84.2,121275.5,22.3,23094.5
4700,1251.9,81.8,125188.1,22.7,23839.5
4800,1251.1,25.0,125108.9,24.3,23824.4
4900,1288.0,93.1,128799.8,22.9,24527.3
5000,1224.1,69.6,122406.5,28.4,23309.8
5100,1267.8,86.6,126784.7,26.8,24143.6
5200,1255.7,149.9,125573.4,25.9,23912.9
5300,1240.5,107.6,124054.9,26.6,23623.7
5400,1260.5,95.1,126051.4,27.6,24003.9
5500,1289.2,20.8,128918.2,27.3,24549.8
5600,1276.4,118.1,127643.7,24.7,24307.2
5700,1264.3,325.4,126425.9,19.9,24075.2
5800,1291.4,19.8,129139.3,26.2,24592.0
5900,1272.2,137.7,127223.6,23.7,24227.2
6000,1272.6,79.7,127259.0,29.4,24233.9
6100,1301.5,155.4,130147.9,24.4,24784.0
6200,1261.4,57.1,126138.9,28.8,24020.6
6300,1231.9,31.0,123194.3,30.7,23459.8
6400,1215.1,91.0,121514.4,30.9,23139.9
6500,1319.4,207.5,131935.5,23.8,25124.4
6600,1378.7,9.3,137869.8,27.8,26254.5
6700,1351.7,24.8,135170.6,28.0,25740.5
6800,1290.7,123.3,129065.3,26.2,24577.9
6900,1315.3,193.9,131529.0,25.0,25047.0
7000,1213.4,41.8,121342.8,31.8,23107.3
7100,1239.7,35.6,123971.8,32.1,23607.9
7200,1218.6,105.0,121856.8,31.3,23205.2
7300,1220.2,125.3,122023.8,31.0,23237.0
7400,1202.4,11.9,120235.6,33.6,22896.4
7500,1198.1,28.6,119813.6,34.3,22816.1
7600,1214.9,235.7,121494.4,29.3,23136.1
7700,1282.9,323.7,128289.5,26.2,24430.1
7800,1182.0,67.7,118203.5,34.4,22509.5
7900,1216.0,75.7,121604.5,32.9,23157.1
8000,1296.0,32.6,129596.4,31.5,24679.0
8100,1373.2,179.2,137317.3,26.9,26149.3
8200,1367.9,140.5,136789.0,25.6,26048.7
8300,1345.4,236.5,134537.4,25.5,25619.9
8400,1339.0,58.2,133899.4,29.5,25498.4
8500,1278.9,423.3,127894.7,24.7,24355.0
8600,1196.4,55.6,119638.7,33.7,22782.8
8700,1129.4,58.7,112935.6,34.0,21506.3
8800,1161.5,105.4,116154.0,34.3,22119.2
8900,1255.6,217.5,125563.7,29.4,23911.0
9000,1333.0,98.3,133304.8,29.4,25385.2
9100,1365.8,403.8,136576.6,22.2,26008.2
9200,1315.3,343.3,131528.0,25.4,25046.8
9300,1341.4,203.4,134144.2,27.4,25545.0
9400,1361.6,145.2,136158.3,27.3,25928.6
9500,1175.4,170.6,117535.2,34.0,22382.2
9600,1208.0,383.1,120795.5,28.2,23003.0
9700,959.2,123.5,95560.1,32.9,18197.5
9800,1225.1,90.5,122509.0,33.2,23329.3
9900,1236.7,138.5,123666.4,32.2,23549.8
10000,1304.9,280.1,130487.9,27.2,24848.8

