Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,691.0,0.5,69103.2,17.8,18558.0
1100,637.9,0.5,63785.0,27.9,17129.8
1200,624.1,1.2,62411.2,30.4,16760.8
1300,562.0,0.6,56199.9,43.4,15092.7
1400,501.5,0.6,50149.4,58.4,13467.9
1500,538.0,1.3,53803.1,53.2,14449.1
1600,537.5,0.7,53746.8,55.3,14434.0
1700,501.5,0.6,50149.8,63.1,13468.0
1800,497.0,0.7,49702.9,65.3,13347.9
1900,490.2,1.3,49020.9,70.1,13164.8
2000,479.6,0.8,47955.7,74.4,12878.7
2100,480.4,0.8,48038.0,75.2,12900.8
2200,471.6,0.7,47159.6,79.4,12664.9
2300,473.6,0.7,47364.0,78.7,12719.8
2400,477.6,0.8,47762.0,79.0,12826.7
2500,457.1,0.8,45713.8,84.9,12276.7
2600,454.9,0.7,45487.8,86.3,12216.0
2700,453.2,0.8,45317.3,87.4,12170.2
2800,459.1,3.8,45905.7,85.0,12328.2
2900,450.6,0.8,45063.5,87.0,12102.0
3000,451.0,0.8,45102.1,88.8,12112.4
3100,435.4,0.7,43544.8,95.9,11694.2
3200,452.3,0.8,45234.5,91.1,12147.9
3300,438.7,0.8,43872.6,94.4,11782.2
3400,432.5,0.8,43253.5,96.2,11615.9
3500,442.4,0.8,44243.8,94.5,11881.9
3600,428.1,0.7,42812.9,100.3,11497.6
3700,444.6,0.8,44459.0,94.7,11939.7
3800,426.7,0.7,42668.8,99.1,11458.9
3900,434.1,0.8,43408.8,99.4,11657.6
4000,434.0,0.7,43403.3,99.7,11656.2
4100,423.9,0.7,42385.9,103.1,11382.9
4200,434.8,0.9,43480.1,99.3,11676.8
4300,421.7,0.8,42168.7,104.5,11324.6
4400,427.6,0.8,42756.1,101.8,11482.4
4500,414.8,0.7,41482.3,107.6,11140.3
4600,428.7,0.8,42871.1,102.2,11513.2
4700,419.6,0.7,41962.4,104.3,11269.2
4800,415.5,0.8,41553.7,106.3,11159.5
4900,417.1,0.7,41707.7,105.3,11200.8
5000,416.9,0.9,41694.9,107.8,11197.4
5100,421.9,0.9,42188.8,105.3,11330.0
5200,419.0,0.7,41900.3,107.5,11252.5
5300,419.3,0.9,41931.8,106.1,11261.0
5400,419.3,0.8,41931.6,106.3,11260.9
5500,428.1,0.9,42810.9,104.8,11497.1
5600,429.9,0.8,42990.5,104.1,11545.3
5700,411.5,0.8,41147.3,111.0,11050.3
5800,425.8,1.0,42575.2,105.9,11433.8
5900,424.2,0.7,42424.2,106.4,11393.2
6000,414.4,0.7,41443.1,109.8,11129.7
6100,406.5,0.8,40646.7,111.9,10915.9
6200,403.2,0.7,40321.3,113.5,10828.5
6300,302.4,0.6,30243.6,151.2,8122.1
6400,404.1,0.8,40413.9,113.1,10853.3
6500,410.2,0.8,41022.5,110.4,11016.8
6600,403.5,0.8,40351.2,113.6,10836.5
6700,419.0,0.9,41895.7,109.7,11251.3
6800,400.1,0.9,40014.5,115.4,10746.1
6900,396.9,0.7,39693.1,117.1,10659.8
7000,396.2,0.7,39623.2,116.1,10641.0
7100,406.7,0.8,40674.0,114.5,10923.2
7200,405.9,0.9,40589.3,113.5,10900.4
7300,408.2,0.8,40824.4,112.7,10963.6
7400,402.0,0.9,40199.1,115.0,10795.7
7500,416.2,1.1,41616.2,109.8,11176.2
7600,393.8,0.8,39376.6,117.2,10574.8
7700,404.2,0.7,40419.3,115.5,10854.8
7800,405.2,0.8,40516.3,114.8,10880.8
7900,411.8,0.9,41177.2,113.1,11058.3
8000,398.2,0.7,39821.4,117.2,10694.2
8100,413.1,0.9,41308.4,112.1,11093.6
8200,411.7,0.8,41174.2,114.3,11057.5
8300,400.7,0.9,40072.3,116.9,10761.6
8400,396.1,0.9,39612.3,117.2,10638.1
8500,410.7,1.5,41073.4,112.1,11030.5
8600,406.5,0.9,40654.9,115.4,10918.1
8700,405.6,0.8,40557.2,115.5,10891.8
8800,399.1,0.9,39906.1,115.7,10717.0
8900,405.2,1.0,40524.8,115.3,10883.1
9000,407.1,0.9,40705.2,114.6,10931.6
9100,399.0,1.0,39902.9,117.3,10716.1
9200,412.9,1.0,41294.8,113.1,11089.9
9300,399.0,16.6,39904.0,118.3,10716.4
9400,410.9,0.9,41093.2,115.1,11035.8
9500,410.9,1.0,41089.7,114.6,11034.8
9600,383.7,0.8,38374.5,122.4,10305.7
9700,393.9,0.8,39386.3,118.8,10577.4
9800,399.6,0.7,39961.5,118.5,10731.8
9900,403.4,0.8,40342.1,117.6,10834.0
10000,392.9,0.8,39291.0,118.9,10551.8

