Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,503.9,0.7,50387.5,53.2,13531.8
1100,980.1,0.4,98007.4,3.6,26320.3
1200,651.6,1.2,65164.9,28.3,17500.3
1300,584.0,0.7,58396.0,42.1,15682.5
1400,569.0,0.7,56901.5,45.9,15281.2
1500,577.2,0.8,57719.5,45.2,15500.9
1600,518.6,0.8,51859.1,59.9,13927.0
1700,540.9,0.7,54089.6,56.3,14526.0
1800,460.4,7.0,37532.9,75.6,10079.6
1900,230.1,12.4,17814.1,203.0,4775.1
2000,473.5,0.9,47348.7,74.6,12715.7
2100,225.3,0.7,22524.1,148.5,6048.9
2200,219.8,1.0,21977.3,163.9,5902.1
2300,198.6,6.5,16394.1,225.6,4396.7
2400,193.0,13.8,15839.8,232.8,4247.8
2500,471.7,1.0,47169.6,77.0,12667.6
2600,223.1,16.1,14702.9,213.7,3935.3
2700,192.1,29.4,15090.6,239.2,4045.5
2800,202.7,4.1,16334.0,226.5,4379.6
2900,184.1,19.9,14470.5,247.8,3879.3
3000,371.0,2.6,37095.1,111.1,9962.1
3100,221.3,36.5,14720.9,216.1,3940.5
3200,216.4,0.4,14371.6,222.6,3846.8
3300,186.8,2.3,15293.4,249.9,4101.1
3400,205.9,0.8,20148.9,201.1,5410.2
3500,196.6,22.7,16498.2,235.7,4425.1
3600,189.2,0.5,15718.0,245.9,4215.5
3700,191.7,47.6,15248.1,242.7,4088.1
3800,192.4,0.5,15448.2,240.1,4142.0
3900,289.0,0.6,24815.2,164.6,6656.9
4000,205.2,0.9,20494.5,204.3,5503.8
4100,201.9,0.7,20075.3,215.4,5391.1
4200,182.3,62.4,14674.6,258.7,3934.8
4300,181.6,55.2,15150.4,250.2,4063.4
4400,174.5,74.7,14183.7,269.2,3803.5
4500,418.1,0.9,41815.0,104.9,11229.6
4600,212.3,5.9,13897.6,227.2,3719.4
4700,214.8,22.8,13965.2,226.2,3737.4
4800,184.8,0.6,15036.9,255.7,4032.2
4900,201.3,25.7,16709.1,234.6,4481.3
5000,404.9,0.8,40485.0,111.3,10872.4
5100,194.5,6.6,14579.7,247.4,3906.9
5200,196.8,2.3,13446.4,247.2,3600.1
5300,417.0,0.9,41703.1,108.0,11199.6
5400,192.5,0.8,19196.1,237.8,5155.1
5500,208.9,0.9,20823.0,212.1,5592.0
5600,186.8,67.9,15499.0,250.7,4156.7
5700,193.2,71.9,16087.9,247.5,4314.8
5800,176.7,29.9,14502.2,269.1,3889.1
5900,181.3,96.0,15079.9,259.8,4044.4
6000,197.0,1.0,19620.3,230.7,5269.0
6100,411.2,0.9,41118.0,111.9,11042.4
6200,188.9,0.8,18823.5,242.6,5055.0
6300,183.8,0.8,18354.4,247.0,4929.1
6400,381.9,0.8,38192.5,120.7,10256.8
6500,208.2,4.8,14361.4,234.5,3845.5
6600,196.9,84.7,16441.3,243.4,4409.8
6700,188.9,111.4,15289.8,253.2,4099.7
6800,184.2,131.0,15034.2,258.8,4031.6
6900,200.7,49.3,16705.5,238.6,4480.4
7000,190.6,17.4,15652.7,251.2,4197.6
7100,189.0,4.9,15614.9,253.0,4187.7
7200,390.8,1.0,39078.9,117.5,10494.8
7300,211.5,13.2,13788.8,230.6,3690.1
7400,203.3,40.8,16761.2,234.1,4495.0
7500,190.4,137.3,13695.2,252.6,3668.6
7600,184.0,0.9,18272.6,250.9,4906.9
7700,189.3,16.2,15676.9,255.7,4204.4
7800,177.3,11.4,14532.8,271.5,3897.2
7900,184.6,192.7,15148.5,257.2,4062.3
8000,396.7,0.9,39671.0,118.0,10653.8
8100,200.4,21.0,14317.5,244.6,3835.0
8200,186.2,27.6,15461.6,259.9,4146.7
8300,412.9,1.0,41292.1,113.0,11089.2
8400,187.4,0.9,17981.4,248.6,4827.5
8500,199.5,0.7,19362.4,231.1,5198.8
8600,186.3,174.5,15570.2,255.2,4175.9
8700,191.3,58.3,15883.1,251.5,4259.7
8800,195.6,303.2,16232.9,244.7,4353.5
8900,185.9,111.8,15529.5,258.8,4165.1
9000,184.7,147.5,15354.6,259.3,4118.0
9100,194.9,110.7,15696.0,245.2,4208.5
9200,197.5,125.0,16288.6,240.9,4368.2
9300,198.3,73.0,14134.9,244.9,3786.0
9400,389.5,0.9,38946.9,122.1,10459.4
9500,194.1,3.6,14443.0,253.0,3870.0
9600,190.6,72.8,15609.9,251.6,4186.1
9700,189.4,88.9,15540.4,253.2,4167.5
9800,403.4,6.4,40335.6,116.7,10832.3
9900,399.9,1.0,39985.9,118.4,10738.4
10000,409.8,7.3,40976.6,115.0,11004.4

