Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,939.8,0.4,93978.4,2.6,25238.3
1100,659.2,0.6,65921.8,24.9,17703.6
1200,711.6,0.5,71160.3,20.9,19110.4
1300,587.8,0.7,58776.9,41.4,15784.8
1400,539.8,4.3,53984.9,51.1,14497.9
1500,551.7,0.8,55167.2,49.4,14815.4
1600,554.4,0.8,55441.2,52.3,14889.0
1700,501.8,0.7,50179.4,64.1,13475.9
1800,528.9,0.9,52893.8,58.9,14204.9
1900,518.7,0.9,51868.7,64.2,13929.6
2000,483.0,0.7,48295.5,73.9,12970.0
2100,489.0,0.7,48895.7,72.6,13131.2
2200,209.3,0.8,20606.3,163.4,5533.1
2300,326.2,0.7,32621.9,123.8,8760.8
2400,264.0,1.6,20275.5,178.8,5434.4
2500,244.2,11.3,17686.1,194.7,4737.9
2600,198.9,4.2,16529.3,229.2,4433.2
2700,193.0,11.4,16019.8,232.8,4296.4
2800,466.2,1.0,46620.6,84.0,12520.2
2900,207.1,0.8,20528.9,204.5,5512.7
3000,192.1,24.7,16576.0,239.1,4446.9
3100,202.6,4.2,17143.6,226.4,4598.5
3200,184.0,39.1,15847.3,249.2,4251.4
3300,444.4,2.5,44444.6,93.8,11935.8
3400,208.1,0.8,20789.0,199.6,5582.9
3500,203.8,0.9,20379.0,204.0,5472.9
3600,186.2,4.2,15526.4,248.4,4164.2
3700,219.3,1.7,15225.4,219.4,4077.0
3800,196.5,15.6,16009.7,235.8,4293.1
3900,189.2,0.6,15548.9,246.9,4169.8
4000,191.7,40.9,16328.0,243.6,4380.0
4100,193.3,0.6,16429.3,240.8,4407.0
4200,286.8,552.7,5009.6,71.9,1308.3
4300,215.9,0.5,14330.7,222.2,3835.8
4400,212.4,29.3,13994.1,228.5,3745.6
4500,182.3,51.7,15341.9,259.2,4115.1
4600,182.8,63.1,14920.2,260.5,4001.0
4700,175.2,75.6,14657.0,269.3,3931.2
4800,419.7,0.9,41965.7,105.5,11270.1
4900,203.5,0.8,20324.8,215.5,5458.3
5000,205.8,0.8,20525.3,216.0,5512.0
5100,184.7,0.6,15457.7,255.5,4145.9
5200,201.2,19.8,16523.9,234.6,4431.2
5300,414.6,0.8,41459.2,107.7,11134.1
5400,192.5,4.2,17335.5,237.6,4652.2
5500,189.9,0.9,18469.9,234.1,4959.2
5600,389.1,0.9,38914.3,114.8,10450.6
5700,198.8,11.3,13012.8,243.6,3482.5
5800,216.5,30.7,14161.8,224.0,3790.0
5900,187.6,57.5,15402.5,256.8,4130.5
6000,193.2,78.5,15830.9,246.9,4245.3
6100,176.5,22.9,14657.4,268.5,3931.0
6200,181.5,113.4,14883.9,263.8,3991.4
6300,203.8,13.2,13317.8,239.6,3564.2
6400,400.7,0.6,40066.0,114.7,10759.9
6500,194.9,8.9,12705.0,250.5,3400.1
6600,189.0,8.3,12281.9,256.4,3286.8
6700,393.2,0.7,39320.0,118.2,10559.6
6800,203.5,0.8,19583.8,227.4,5258.0
6900,196.9,93.1,16026.9,243.0,4297.7
7000,188.9,112.2,16017.8,254.2,4296.5
7100,184.2,31.3,15365.1,259.6,4121.0
7200,200.7,51.6,16444.5,238.4,4409.8
7300,190.7,18.0,15809.6,251.4,4240.0
7400,188.9,6.7,15569.9,252.0,4175.5
7500,407.4,1.1,40741.9,111.6,10941.4
7600,204.2,0.9,20388.9,224.6,5475.5
7700,204.7,33.1,16935.2,233.8,4541.8
7800,188.9,136.8,17540.0,244.4,4708.0
7900,188.7,19.8,12362.3,258.1,3308.6
8000,189.3,26.4,15561.6,255.6,4173.2
8100,177.3,3.7,14721.8,273.1,3948.3
8200,184.5,183.6,15333.9,257.3,4112.5
8300,397.5,0.9,39752.3,116.9,10675.7
8400,197.6,0.7,18498.2,238.0,4965.5
8500,184.9,21.6,15185.6,259.5,4072.3
8600,362.8,0.8,36276.5,118.6,9742.2
8700,201.0,8.3,13991.2,242.7,3746.7
8800,205.9,30.6,14047.5,236.3,3761.0
8900,186.2,171.0,15346.5,254.4,4115.5
9000,191.3,60.1,15715.0,251.4,4214.3
9100,195.7,317.2,16140.2,245.0,4328.5
9200,185.9,142.8,15206.5,258.6,4077.8
9300,184.7,70.9,15227.4,258.9,4083.6
9400,194.9,125.6,16522.3,245.2,4431.9
9500,197.9,128.4,16442.0,240.9,4409.6
9600,194.2,18.0,18222.6,241.1,4891.6
9700,403.1,1.0,40310.6,116.6,10825.6
9800,190.2,0.6,17269.6,247.9,4634.7
9900,190.6,63.2,15779.1,251.3,4231.8
10000,190.3,103.9,15830.4,252.4,4245.6

