Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,483.3,0.7,48333.8,57.8,12980.3
1100,660.6,1.8,66057.1,23.9,17739.9
1200,624.1,1.8,62408.7,31.1,16760.1
1300,563.8,0.6,56379.9,44.3,15141.1
1400,525.3,1.8,52528.8,52.9,14106.9
1500,555.0,0.8,55499.6,49.4,14904.7
1600,514.7,0.8,51469.3,57.8,13822.3
1700,499.3,0.8,49925.4,64.5,13407.7
1800,504.4,1.3,50441.7,66.3,13546.4
1900,505.5,0.9,50550.8,65.4,13575.7
2000,485.5,0.8,48545.1,72.1,13037.0
2100,478.7,0.7,47866.4,75.4,12854.7
2200,484.2,0.7,48418.4,74.1,13003.0
2300,468.5,0.7,46852.7,79.5,12582.5
2400,443.1,1.8,44306.6,87.8,11898.7
2500,463.6,0.9,46356.4,81.7,12449.2
2600,467.4,0.8,46737.2,82.4,12551.5
2700,446.9,0.7,44689.6,90.4,12001.6
2800,456.6,0.9,45658.9,87.7,12261.9
2900,462.7,0.8,46271.1,85.8,12426.3
3000,447.0,0.7,44701.7,91.3,12004.8
3100,437.5,2.6,43750.0,93.3,11749.3
3200,420.5,0.7,42048.8,99.1,11292.4
3300,406.6,0.7,40662.9,107.5,10920.2
3400,432.2,0.8,43223.4,97.0,11607.9
3500,428.6,0.8,42864.5,97.0,11511.5
3600,437.8,0.8,43783.7,97.2,11758.3
3700,422.7,0.8,42274.5,101.9,11353.0
3800,430.9,0.8,43092.0,100.5,11572.5
3900,414.8,2.5,41478.5,105.4,11139.2
4000,444.3,0.9,44432.9,95.9,11932.7
4100,419.1,0.6,41911.7,104.3,11255.6
4200,420.3,0.7,42026.4,104.4,11286.4
4300,412.2,2.7,41219.9,105.9,11069.8
4400,427.0,0.9,42703.4,102.7,11468.2
4500,422.7,0.8,42268.7,104.3,11351.5
4600,407.5,3.3,40753.4,109.2,10944.5
4700,414.1,0.6,41407.2,108.3,11120.1
4800,415.4,0.8,41536.5,107.0,11154.8
4900,406.4,0.8,40643.3,110.4,10914.9
5000,412.2,0.9,41221.8,108.9,11070.3
5100,414.1,0.8,41405.4,108.3,11119.6
5200,416.5,0.8,41649.7,107.9,11185.2
5300,419.7,0.8,41972.9,107.1,11272.0
5400,404.5,0.9,40454.5,109.9,10864.3
5500,410.6,0.8,41055.3,110.6,11025.6
5600,395.2,0.8,39523.0,114.8,10614.1
5700,400.6,0.8,40058.2,113.4,10757.8
5800,406.1,3.3,40614.5,110.9,10907.2
5900,392.2,0.8,39222.5,116.7,10533.4
6000,406.4,0.9,40638.8,111.9,10913.7
6100,415.7,1.0,41572.6,109.2,11164.5
6200,403.7,0.8,40369.4,112.3,10841.4
6300,414.2,0.8,41423.7,110.7,11124.5
6400,401.5,0.7,40147.3,114.1,10781.7
6500,399.1,1.0,39906.5,113.4,10717.1
6600,401.5,0.8,40146.5,114.2,10781.5
6700,398.7,0.7,39874.7,115.0,10708.5
6800,395.1,0.8,39508.8,117.6,10610.3
6900,374.8,0.7,37482.4,123.8,10066.1
7000,339.1,0.8,33912.0,137.4,9107.2
7100,395.0,0.9,39497.2,117.0,10607.2
7200,385.5,0.7,38546.2,120.9,10351.8
7300,404.8,0.9,40476.0,114.1,10870.0
7400,405.3,0.9,40534.5,112.6,10885.7
7500,405.9,0.8,40585.9,113.9,10899.5
7600,398.7,0.9,39866.3,116.0,10706.3
7700,400.9,0.9,40092.5,116.1,10767.0
7800,395.3,0.9,39534.7,117.9,10617.2
7900,391.9,5.6,39188.5,119.1,10524.3
8000,397.8,0.8,39782.1,117.8,10683.7
8100,402.4,0.8,40242.5,116.6,10807.3
8200,398.9,0.9,39892.6,117.1,10713.3
8300,391.7,0.8,39173.1,118.8,10520.1
8400,404.4,0.9,40438.1,115.5,10859.9
8500,395.8,0.7,39578.5,119.4,10629.0
8600,394.6,0.8,39460.2,118.6,10597.2
8700,388.0,0.9,38797.9,120.7,10419.4
8800,387.5,0.7,38751.1,122.0,10406.8
8900,390.4,0.7,39035.5,120.7,10483.2
9000,362.5,0.9,36248.1,130.1,9734.6
9100,391.8,0.7,39184.2,119.2,10523.1
9200,404.0,1.1,40401.8,116.8,10850.1
9300,398.2,0.9,39815.3,118.3,10692.6
9400,398.3,0.8,39825.8,118.7,10695.4
9500,393.2,0.8,39317.3,120.3,10558.8
9600,400.2,7.6,40016.1,118.1,10746.5
9700,393.8,1.1,39377.0,118.5,10574.9
9800,396.6,1.1,39664.3,118.1,10652.0
9900,406.5,7.7,40651.5,113.8,10917.1
10000,392.9,1.0,39291.7,120.6,10552.0

