Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,647.8,62.9,64779.5,28.0,17396.8
1100,729.1,85.2,72069.1,1.0,19354.5
1200,868.3,56.1,86826.8,1.0,23317.7
1300,939.7,123.9,93966.0,1.2,25235.0
1400,1020.0,138.6,102000.8,2.0,27392.8
1500,805.9,238.3,80592.2,2.9,21643.4
1600,822.2,3.3,82215.5,4.3,22079.4
1700,851.1,25.4,85111.4,5.6,22857.1
1800,865.7,364.2,86569.3,7.2,23248.6
1900,882.0,373.9,88197.4,8.5,23685.8
2000,907.1,36.7,90713.6,17.2,24361.6
2100,929.5,17.8,92953.6,13.1,24963.1
2200,968.7,61.3,96867.2,13.6,26014.1
2300,962.6,173.0,96258.5,13.3,25850.7
2400,980.4,280.9,98044.5,13.2,26330.3
2500,862.2,314.2,85371.2,15.5,22926.8
2600,1018.1,59.5,101811.1,16.3,27341.9
2700,1030.1,370.2,103009.6,13.5,27663.7
2800,1045.1,321.5,104508.1,17.5,28066.1
2900,1054.4,467.4,105342.1,13.3,28289.9
3000,879.1,338.8,87790.7,23.9,23576.6
3100,1086.8,369.3,108684.0,15.8,29187.6
3200,1091.1,74.4,109114.5,21.0,29303.2
3300,889.8,343.4,88390.2,23.9,23737.6
3400,1112.9,334.9,111292.4,18.8,29888.1
3500,1067.4,351.3,106743.7,17.1,28666.5
3600,950.1,464.7,94804.2,17.8,25460.1
3700,1136.6,595.1,113661.2,16.7,30524.2
3800,1138.3,398.5,113835.0,16.6,30570.9
3900,1080.6,351.0,108063.8,17.5,29021.0
4000,949.6,546.4,94769.4,20.4,25450.8
4100,884.4,410.2,86992.0,20.9,23362.1
4200,1120.1,303.2,112005.0,22.2,30079.5
4300,1185.3,120.1,118530.9,24.5,31832.0
4400,1067.2,276.9,106717.5,25.4,28659.5
4500,1179.0,612.7,117894.0,15.6,31661.0
4600,1059.0,491.2,105903.4,21.6,28440.9
4700,917.5,357.4,91110.8,22.7,24468.2
4800,859.3,400.8,82772.1,20.3,22228.8
4900,1010.0,365.7,100999.1,31.5,27123.8
5000,854.4,547.6,84820.3,27.4,22778.9
5100,917.9,488.5,91089.3,21.4,24462.5
5200,895.4,388.5,86311.9,26.2,23179.5
5300,1138.1,462.7,113753.8,22.6,30548.9
5400,1244.4,269.8,124436.4,25.4,33418.0
5500,930.0,647.6,92385.0,21.0,24810.4
5600,1230.2,497.4,122996.9,21.0,33031.4
5700,899.4,577.7,89254.2,20.3,23969.6
5800,1065.9,472.8,106589.7,24.2,28625.2
5900,505.8,132.0,49972.2,78.0,13420.3
6000,857.1,77.2,81479.4,33.4,21881.7
6100,886.5,393.0,87600.2,26.5,23525.4
6200,1201.9,505.5,120192.2,22.2,32278.2
6300,920.4,741.0,90972.5,23.3,24431.1
6400,1195.7,710.6,119566.6,19.0,32110.2
6500,902.8,254.6,80420.3,21.3,21597.2
6600,1030.3,201.1,103026.2,24.7,27668.2
6700,866.0,1887.9,84140.9,14.7,22596.4
6800,1135.9,722.6,113586.1,17.6,30504.1
6900,878.1,723.4,87735.4,16.6,23561.8
7000,1069.3,616.6,106926.4,19.9,28715.6
7100,955.8,801.5,94639.6,19.9,25415.9
7200,940.7,791.5,92604.9,19.1,24869.3
7300,1084.9,662.8,108490.7,22.1,29135.7
7400,915.3,476.3,83424.8,26.2,22404.1
7500,1178.3,417.7,117832.3,22.0,31644.4
7600,1215.7,180.5,121574.8,25.4,32649.5
7700,889.5,72.0,87327.9,29.6,23450.6
7800,1216.3,515.7,121627.3,20.2,32663.6
7900,924.5,682.5,91912.4,22.9,24683.5
8000,967.0,605.2,93725.4,21.8,25170.4
8100,945.8,793.1,94052.3,19.2,25258.2
8200,949.2,827.1,94011.8,18.5,25247.3
8300,1106.6,770.5,110661.1,19.2,29718.5
8400,901.8,507.9,79485.6,19.7,21346.2
8500,931.7,175.3,93023.0,28.0,24981.8
8600,1048.8,77.9,104877.8,31.3,28165.4
8700,1264.8,621.2,126483.5,18.1,33967.7
8800,1157.1,578.6,115684.2,20.4,31067.5
8900,883.0,658.1,86989.4,26.8,23361.4
9000,962.0,850.3,95088.4,17.3,25536.4
9100,1155.6,127.3,115558.1,28.4,31033.7
9200,902.0,153.8,88519.7,31.4,23772.4
9300,1253.3,662.8,125331.3,19.7,33658.3
9400,1252.6,680.7,125257.7,20.3,33638.5
9500,1171.2,909.9,117055.6,18.7,31435.7
9600,906.4,81.2,83297.0,36.1,22369.8
9700,1205.7,543.9,120571.2,25.7,32380.0
9800,924.1,764.5,89438.6,24.9,24019.2
9900,1176.6,894.8,117659.5,18.4,31598.0
10000,916.0,421.1,77330.3,19.3,20767.4

