Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,648.9,4.1,64894.8,27.3,17427.8
1100,1086.9,0.4,108689.3,0.8,29189.0
1200,1170.9,0.4,117085.3,1.0,31443.8
1300,1278.7,0.5,127866.8,1.2,34339.2
1400,880.2,9.4,88015.8,2.6,23637.0
1500,791.1,55.4,79112.9,5.7,21246.1
1600,825.1,85.5,82513.7,7.0,22159.4
1700,827.9,319.3,82791.1,8.5,22233.9
1800,865.5,96.5,86550.8,11.2,23243.6
1900,880.5,416.4,88050.9,10.0,23646.5
2000,907.5,74.0,90753.3,14.0,24372.2
2100,732.5,450.5,72630.7,12.4,19505.3
2200,944.2,94.4,94400.0,14.2,25351.5
2300,989.3,472.3,98926.6,12.4,26567.2
2400,980.3,92.2,98026.5,20.1,26325.5
2500,917.6,70.4,91755.2,21.5,24641.3
2600,1005.7,198.9,100572.3,17.0,27009.2
2700,948.4,654.7,94839.2,15.0,25469.5
2800,1039.6,120.6,103943.8,18.3,27914.5
2900,1058.4,598.8,105837.7,15.0,28423.2
3000,1014.7,114.9,101467.8,26.6,27249.7
3100,1063.7,144.3,106369.5,22.8,28566.0
3200,814.9,773.3,80973.3,16.9,21745.8
3300,915.9,199.1,91530.1,21.1,24580.8
3400,816.7,929.8,81112.5,15.9,21783.1
3500,1132.9,384.8,113289.1,17.7,30424.3
3600,783.3,727.3,77200.9,16.3,20732.7
3700,1146.5,257.8,114650.3,19.6,30789.9
3800,800.2,551.6,78441.0,21.4,21065.6
3900,1147.0,360.6,114702.2,21.3,30803.8
4000,804.5,900.7,79174.9,16.6,21262.8
4100,1141.5,225.3,114147.3,21.4,30654.8
4200,1011.0,443.3,101097.8,22.7,27150.3
4300,1046.5,343.0,104647.2,20.2,28103.5
4400,845.0,214.4,82908.3,30.7,22265.4
4500,1119.9,242.4,111988.8,25.9,30075.1
4600,845.5,995.9,82457.1,16.2,22144.2
4700,924.3,300.6,91766.0,24.9,24644.2
4800,982.3,290.6,98201.2,32.3,26372.3
4900,866.6,338.4,86508.4,25.7,23232.2
5000,956.3,692.6,94693.9,22.0,25430.5
5100,1218.3,462.8,121827.8,20.2,32717.4
5200,1066.8,424.9,106672.4,26.1,28647.3
5300,923.3,337.0,91461.2,23.7,24562.3
5400,1101.7,828.6,110168.9,18.7,29586.4
5500,1136.5,350.6,113651.0,27.8,30521.5
5600,866.6,595.9,86560.4,23.3,23246.2
5700,1149.1,260.2,114906.9,25.4,30858.8
5800,1088.4,1077.0,108843.6,15.6,29230.4
5900,875.0,353.7,86028.4,23.3,23103.3
6000,904.3,425.0,90046.0,30.3,24182.3
6100,1170.3,403.5,117027.9,25.2,31428.4
6200,861.1,1076.1,81754.8,17.6,21955.6
6300,908.9,408.6,90867.7,26.0,24402.9
6400,868.4,560.1,83979.0,26.6,22553.0
6500,881.8,299.6,87577.7,27.7,23519.4
6600,1091.4,922.3,109139.0,19.0,29309.8
6700,990.2,457.9,99015.2,22.9,26591.0
6800,871.8,506.3,85957.5,26.8,23084.3
6900,974.4,412.1,97029.4,25.0,26057.7
7000,878.5,885.5,87816.9,21.4,23583.6
7100,885.8,440.2,87799.5,26.2,23578.9
7200,891.0,548.0,88534.1,28.3,23776.2
7300,905.1,293.7,88244.8,28.7,23698.6
7400,883.2,491.9,85756.5,27.7,23030.3
7500,962.0,319.9,95528.1,32.0,25654.5
7600,911.2,393.9,90461.7,32.6,24293.9
7700,910.3,290.5,89796.7,29.4,24115.3
7800,887.2,838.2,87198.8,22.8,23417.6
7900,928.1,411.0,92021.0,27.9,24712.5
8000,915.7,402.8,91365.8,30.0,24536.7
8100,898.2,451.3,89519.2,22.5,24040.8
8200,891.8,839.1,86758.0,20.2,23299.3
8300,912.8,549.6,90006.1,23.5,24171.6
8400,900.7,586.4,85636.0,26.0,22997.9
8500,920.7,341.7,88888.4,28.1,23871.4
8600,905.2,897.3,90342.8,20.7,24262.0
8700,902.6,638.9,89179.4,24.0,23949.5
8800,928.8,423.7,90871.8,31.8,24404.0
8900,918.4,395.2,90147.1,26.6,24209.3
9000,902.5,565.3,87141.7,26.5,23402.3
9100,952.5,485.1,94848.4,23.2,25472.0
9200,933.6,574.2,91384.1,25.8,24541.6
9300,935.6,481.9,92127.5,22.7,24741.2
9400,849.8,369.1,81889.3,35.1,21991.8
9500,984.2,708.7,97629.5,23.2,26218.9
9600,947.7,518.8,94771.7,32.2,25451.4
9700,933.5,330.7,89724.1,28.8,24095.8
9800,960.4,914.7,94709.9,22.4,25434.8
9900,984.6,656.4,95521.9,22.8,25652.9
10000,921.4,477.9,91939.4,33.5,24690.7

